Auteur	Titre	Date	Genre	Citation	parjure	serment	promesse	engagement	pacte	gage	foi	voeu	parole	traitre	alliance	caution	garantie	contrat	traité	Somme oeuvre
																				
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Mais enfin votre promesse....			1													
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Ma foi, Monsieur de Lahausse, j'attends, pour le déplacer quelqu'un...							1									
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Ma foi, je vous le conseille.							1									
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Ma foi, par l'intérêt que je vous porte, je vous plains.							1									
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	On t'a donc laissé sortir de prison sur parole ?									1							
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Je croyais que vous aviez mis cette alliance dans votre tête.											1					
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Qu'ici de ton alliance											1					
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Faire une alliance,											1					
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	À venir signer le contrat.														1		
MERLE et DESESSARTS	À BAS MOLIÈRE	1809	Vaudeville	Aimes-tu mieux signer au contrat comme mon cousin ; au fait, cela me conviendrait assez.														1		
DURANT, Catherine	À BON CHAT BON RAT	1699	Proverbe	Ce fatal engagement, loin de soumettre la raison, révolte tous les sens contre lui.				1												
DURANT, Catherine	À BON CHAT BON RAT	1699	Proverbe	Ma foi, digérez vos petits chagrins toute seule.							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Queu scélérat que ce La Plume l' me le payera, ou je ne serons pas Mme Savon ; voyez-vous le serment que je fais...		1														
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Oui, ma foi, c'est bien trouvé.							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Ma foi, le v'là toujours.							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Ma foi, Madame Savon, c'est affaire à |****]. Vous leux avez ben donné la monnaie de leur pièce.							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Ma foi, commère, si j'étais que de vous, je ne barguignerais pas : je prendrais Monsieur de La Plume au mot ; ça vengerait vot' fille, et ce gueux de Toulonet en crèverait de dépit.							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Oui, ma foi, c'est bien trouvé !							1									
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	« Je vous ai promis mariage, je ne suis plus en pouvoir de vous tenir parole...»									1							
CARMONTELLE, Louis de	À BON CHAT BON RAT	1771	Proverbe	Madame, écoutez-moi seulement une parole.									1							
